key,authors,year,title,venue,identifier,evidence_tier,relevance,documented_in,local_files,notes
aaltodissertation,,,,,,institutional/grey,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,,Aalto dissertation; delivery EV routing plus DLMP clearing
acer2024,ACER,2024,Welfare Benefits of Co-Optimising Energy and Reserves,report,,institutional/grey,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,regulator report; no DOI
admm-dr-study2023,,2023,Computational Performance Study on the ADMM Algorithm for a Demand Response Peak Shaving Application,IEEE Systems Journal,DOI: 10.1109/jsyst.2023.3234709,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors not captured
admm-mip-penalty,,,,arXiv,arXiv:2511.08750; DOI: 10.48550/arxiv.2511.08750,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,ADMM MIP penalty study; named by identifier only
afentoulis2025,Konstantinos D. Afentoulis and Stylianos I. Vagropoulos,2025,Are current demand response baseline designs suitable for electric vehicles? Policy insights from the independent aggregation business model,Applied Energy 396,10.1016/j.apenergy.2025.126281,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md,11.pdf,kills EV baseline-gaming demonstration claim
aggnnicg,,,AGGNNI-CG,,arXiv:2401.03692,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,GNN-guided pricing for paratransit; year not stated
aggregator-contract-design2023,,2023,The aggregator's contract design problem in the electricity demand response market,Operational Research 23,DOI: 10.1007/s12351-023-00753-1,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
alcaly1966,Alcaly & Klevorick,1966,,,DOI: 10.2307/1909864,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,refinement; named by DOI only
anderson,"Anderson, Granat, Plott & Shimomura",,Global Instability in Experimental General Equilibrium: The Scarf Example,Caltech preprint,DOI: 10.7907/pvhqy-8kz29,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,experimental Scarf confirmation; year not captured
andrianesis2022,"Andrianesis, P., Bertsimas, D., Caramanis, M.C. & Hogan, W.W.",2022,Computation of Convex Hull Prices in Electricity Markets with Non-Convexities using Dantzig-Wolfe Decomposition,IEEE Trans. Power Systems,10.1109/TPWRS.2021.3122000,abstract-level,core-threat,HANDOFF_PRICE_MAKER_20260814.md;EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,year cited as both 2021 and 2022; gates B3
anjos2018,"Anjos, M.F., Lodi, A. & Tanneau, M.",2018,A Decentralized Framework for the Optimal Coordination of Distributed Energy Resources,IEEE Transactions on Power Systems,DOI: 10.1109/tpwrs.2018.2867476,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,DW coordination of MILP DERs; Lodi co-author
anunrojwong,"Anunrojwong, J., Balseiro, S. R., Besbes, O., & Xu, B.",2024,Battery Operations in Electricity Markets: Strategic Behavior and Distortions,arXiv; SSRN working paper,SSRN 4877753,abstract-level,core-threat,READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,,gates B8; year not stated
approximationpredictions,,,Approximation Algorithms for Combinatorial Optimization with Predictions,,arXiv:2411.16600,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,offline learning-augmented framework; year not stated
arctic-ev-microgrids2025,,2025,Are Electric Vehicles a Solution for Arctic Isolated Microgrid Communities?,World Electric Vehicle Journal 16(3):128,mdpi.com/2032-6653/16/3/128,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
